T  E(T)  T(E(T))
----------------
10 0.373 9.366
11 0.413 10.350
12 0.452 11.335
13 0.491 12.320
14 0.531 13.306
15 0.570 14.291
16 0.610 15.278
17 0.649 16.264
18 0.689 17.250
19 0.728 18.237
20 0.768 19.223
21 0.808 20.210
22 0.847 21.197
23 0.887 22.184
24 0.927 23.171
25 0.967 24.158
26 1.007 25.145
27 1.046 26.132
28 1.086 27.119
29 1.126 28.106
30 1.166 29.093

E     T(E)  E(T(E))
-------------------
0.397 9.957 0.372
0.798 19.970 0.767
1.203 30.000 1.166
1.612 40.034 1.569
2.023 50.031 1.975
2.436 60.010 2.383
2.851 69.995 2.795
3.267 79.991 3.211
3.682 89.973 3.630
4.096 99.963 4.053
4.509 109.976 4.480
4.920 119.997 4.912
5.328 130.006 5.347
5.735 140.052 5.786
6.138 150.059 6.228
